Name Lookup Time,	Connect Time,	App Connect Time,	Pre-Transfer Time,	Redirect Time,	Start Transfer Time,	Total Time,	Download Size,	Download Speed
    0.002, 0.002, 0.293, 0.293, 0.000, 1.663, 2.330, 558328, 239585.000
    0.002, 0.002, 0.279, 0.280, 0.000, 0.409, 0.993, 558328, 562484.000
    0.001, 0.002, 0.306, 0.306, 0.000, 0.434, 1.009, 558328, 553400.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.414, 0.992, 558328, 562603.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.415, 0.974, 558328, 572949.000
    0.040, 0.040, 0.322, 0.322, 0.000, 0.467, 1.032, 558328, 541074.000
    0.001, 0.001, 0.283, 0.284, 0.000, 0.425, 0.988, 558328, 565112.000
    0.002, 0.002, 0.283, 0.283, 0.000, 0.419, 1.022, 558328, 546453.000
    0.002, 0.002, 0.312, 0.312, 0.000, 0.442, 0.991, 558328, 563462.000
    0.002, 0.002, 0.461, 0.462, 0.000, 0.648, 1.140, 558328, 489895.000
    
0.044, 0.045, 0.382, 0.383, 0.000, 1.942, 2.707, 558328, 206237.000
    0.002, 0.002, 0.289, 0.289, 0.000, 0.427, 1.007, 558328, 554374.000
    0.002, 0.002, 0.281, 0.281, 0.000, 0.411, 0.968, 558328, 576804.000
    0.001, 0.002, 0.282, 0.282, 0.000, 0.425, 0.980, 558328, 569509.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.423, 0.977, 558328, 571418.000
    0.002, 0.002, 0.287, 0.287, 0.000, 0.413, 0.993, 558328, 562381.000
    0.001, 0.001, 0.280, 0.280, 0.000, 0.421, 1.080, 558328, 516926.000
    0.002, 0.002, 0.282, 0.282, 0.000, 0.406, 1.270, 558328, 439673.000
    0.002, 0.002, 0.330, 0.331, 0.000, 0.479, 1.036, 558328, 538872.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.426, 0.980, 558328, 569750.000
    0.001, 0.001, 0.280, 0.280, 0.000, 0.413, 0.972, 558328, 574472.000
    0.001, 0.001, 0.300, 0.300, 0.000, 0.441, 1.016, 558328, 549471.000
    0.001, 0.001, 0.281, 0.281, 0.000, 0.422, 0.995, 558328, 561197.000
    0.001, 0.002, 0.280, 0.280, 0.000, 0.415, 0.995, 558328, 561073.000
    0.002, 0.002, 0.288, 0.289, 0.000, 0.431, 1.044, 558328, 534936.000
    0.002, 0.002, 0.287, 0.287, 0.000, 1.575, 2.226, 558328, 250787.000
    0.001, 0.002, 0.282, 0.282, 0.000, 0.416, 0.999, 558328, 559002.000
    0.002, 0.002, 0.281, 0.282, 0.000, 0.412, 0.972, 558328, 574425.000
    0.002, 0.002, 0.287, 0.287, 0.000, 0.449, 1.026, 558328, 544025.000
    0.001, 0.002, 0.281, 0.281, 0.000, 0.411, 0.986, 558328, 566034.000
    0.002, 0.002, 0.282, 0.282, 0.000, 0.440, 0.993, 558328, 562034.000
    0.001, 0.002, 0.280, 0.280, 0.000, 0.429, 0.990, 558328, 564183.000
    0.002, 0.002, 0.291, 0.291, 0.000, 0.414, 0.973, 558328, 573537.000
    0.001, 0.002, 0.317, 0.317, 0.000, 0.442, 1.009, 558328, 553341.000
    0.001, 0.002, 0.283, 0.283, 0.000, 0.410, 0.994, 558328, 561696.000
    0.002, 0.002, 0.389, 0.389, 0.000, 0.520, 1.084, 558328, 515207.000
    0.001, 0.002, 0.284, 0.284, 0.000, 0.412, 1.003, 558328, 556477.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.426, 1.011, 558328, 552499.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.411, 0.994, 558328, 561672.000
    0.002, 0.002, 0.282, 0.282, 0.000, 0.408, 0.986, 558328, 566019.000
    0.002, 0.002, 0.285, 0.285, 0.000, 1.678, 2.374, 558328, 235191.000
    0.002, 0.002, 0.281, 0.281, 0.000, 0.419, 1.022, 558328, 546568.000
    0.001, 0.002, 0.281, 0.281, 0.000, 0.406, 0.961, 558328, 580828.000
    0.002, 0.002, 0.283, 0.283, 0.000, 0.413, 1.019, 558328, 548035.000
    0.002, 0.002, 0.282, 0.282, 0.000, 0.407, 0.968, 558328, 576725.000
    0.001, 0.002, 0.283, 0.283, 0.000, 0.411, 0.982, 558328, 568640.000
    0.001, 0.002, 0.281, 0.281, 0.000, 0.409, 1.050, 558328, 531768.000
    0.001, 0.002, 0.519, 0.519, 0.000, 0.646, 1.227, 558328, 454978.000
    0.001, 0.002, 0.308, 0.308, 0.000, 0.446, 1.032, 558328, 540872.000
    0.001, 0.002, 0.286, 0.286, 0.000, 0.420, 0.998, 558328, 559388.000
    0.002, 0.002, 0.287, 0.287, 0.000, 0.423, 0.991, 558328, 563358.000
    0.001, 0.002, 0.284, 0.284, 0.000, 0.415, 0.999, 558328, 559057.000
    0.001, 0.002, 0.280, 0.280, 0.000, 0.424, 0.994, 558328, 561866.000
    0.001, 0.002, 0.489, 0.489, 0.000, 0.678, 1.196, 558328, 466780.000
    0.001, 0.002, 0.286, 0.286, 0.000, 0.426, 0.976, 558328, 571895.000
    0.001, 0.001, 0.284, 0.284, 0.000, 1.829, 2.532, 558328, 220478.000
    0.001, 0.001, 0.280, 0.280, 0.000, 0.428, 0.988, 558328, 565047.000
    0.001, 0.002, 0.287, 0.287, 0.000, 0.414, 0.991, 558328, 563388.000
    0.002, 0.002, 0.281, 0.281, 0.000, 0.418, 1.064, 558328, 524819.000
    0.002, 0.002, 0.284, 0.284, 0.000, 0.409, 0.994, 558328, 561808.000
    
