Name Lookup Time,"	Connect Time","	App Connect Time","	Pre-Transfer Time","	Redirect Time","	Start Transfer Time","	Total Time","	Download Size","	Download Speed"
0.001,0.002,0.29,0.29,0,0.529,2.157,2821155,1307980
0.001,0.002,0.282,0.282,0,0.495,2.398,2821155,1176311
0.002,0.002,0.289,0.289,0,0.517,3.031,2821155,930750
0.002,0.002,0.285,0.285,0,0.557,2.749,2821155,1026341
0.002,0.002,0.38,0.38,0,1.747,3.311,2821155,852086
0.001,0.002,0.289,0.289,0,0.521,2.262,2821155,1246922
0.002,0.002,0.296,0.296,0,0.499,2.264,2821155,1246309
0.001,0.002,0.353,0.353,0,0.551,2.155,2821155,1309305
0.002,0.002,0.282,0.282,0,0.497,2.048,2821155,1377544
0.002,0.002,0.283,0.283,0,0.482,2.032,2821155,1388178
0.002,0.002,0.284,0.284,0,0.474,1.982,2821155,1423442
0.002,0.002,0.396,0.396,0,0.588,2.132,2821155,1322992
0.002,0.002,0.29,0.29,0,0.472,2.014,2821155,1400487
0.001,0.002,0.282,0.282,0,0.466,1.999,2821155,1411310
0.001,0.002,0.281,0.282,0,0.469,2.027,2821155,1392067
0.002,0.002,0.284,0.284,0,1.712,3.319,2821155,849986
0.001,0.002,0.283,0.283,0,0.483,2.078,2821155,1357840
0.002,0.002,0.289,0.289,0,0.479,2.003,2821155,1408773
0.001,0.002,0.284,0.284,0,0.494,2.017,2821155,1398731
0.002,0.002,0.284,0.284,0,0.561,2.065,2821155,1366236
0.001,0.001,0.283,0.283,0,0.488,1.994,2821155,1415098
0.002,0.002,0.385,0.385,0,0.595,2.194,2821155,1285872
0.001,0.002,0.286,0.286,0,0.497,2.02,2821155,1396372
0.001,0.001,0.3,0.301,0,0.499,2.094,2821155,1347300
0.002,0.002,0.283,0.283,0,0.516,2.098,2821155,1344505
0.002,0.002,0.28,0.28,0,1.693,3.304,2821155,853855
0.001,0.002,0.286,0.286,0,0.489,2.037,2821155,1384766
0.002,0.002,0.289,0.289,0,0.483,2.05,2821155,1376367
0.001,0.002,0.282,0.282,0,0.477,2.039,2821155,1383454
0.002,0.002,0.538,0.538,0,0.763,2.405,2821155,1173080
0.036,0.037,0.324,0.324,0,0.525,2.038,2821155,1384021
0.002,0.002,0.284,0.284,0,0.478,1.99,2821155,1417903
0.001,0.002,0.504,0.504,0,0.691,2.33,2821155,1210642
0.001,0.001,0.287,0.287,0,0.493,2.046,2821155,1378647
0.001,0.002,0.281,0.281,0,0.53,2.005,2821155,1407409
0.002,0.002,0.282,0.282,0,1.554,3.15,2821155,895511
0.002,0.002,0.32,0.32,0,0.503,1.984,2821155,1422227
0.002,0.002,0.32,0.32,0,0.503,2.068,2821155,1364043
0.002,0.002,0.293,0.293,0,0.485,2.05,2821155,1376496
0.001,0.002,0.407,0.407,0,0.597,2.153,2821155,1310604
0.002,0.002,0.282,0.282,0,0.465,2.061,2821155,1369092
0.002,0.002,0.282,0.282,0,0.467,2.008,2821155,1404906
0.002,0.002,0.28,0.28,0,0.478,1.993,2821155,1415635
0.002,0.002,0.284,0.284,0,0.47,2.108,2821155,1338360
0.002,0.002,0.286,0.286,0,0.473,2.013,2821155,1401568
0.002,0.002,0.279,0.279,0,1.462,3.012,2821155,936616
0.002,0.002,0.282,0.282,0,0.479,1.999,2821155,1411571
0.002,0.002,0.368,0.368,0,0.586,2.057,2821155,1371443
0.001,0.002,0.285,0.285,0,0.505,2.033,2821155,1387862
0.001,0.002,0.284,0.284,0,0.511,2.093,2821155,1347791
0.001,0.002,0.369,0.369,0,0.587,2.069,2821155,1363294
0.002,0.002,0.324,0.324,0,0.51,2.078,2821155,1357665
0.002,0.002,0.283,0.283,0,0.475,2.007,2821155,1405995
0.001,0.001,0.283,0.283,0,0.468,2.011,2821155,1402592
0.001,0.002,0.286,0.286,0,0.519,1.951,2821155,1445877
0.001,0.002,0.313,0.313,0,1.729,3.338,2821155,845266
0.001,0.002,0.281,0.281,0,0.47,1.994,2821155,1415012
0.002,0.002,0.281,0.281,0,0.471,2.013,2821155,1401353
0.001,0.002,0.359,0.359,0,0.537,2.054,2821155,1373281
0.002,0.002,0.458,0.458,0,0.638,2.179,2821155,1294748
    ,,,,,,,,
